Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-11-28 14:30:00-05:00,10.204999923706055,10.234999656677246,10.119999885559082,10.130000114440918,0,0.0,0.0
2022-11-28 15:30:00-05:00,10.125,10.180000305175781,10.100000381469727,10.130000114440918,3857006,0.0,0.0
2022-11-29 09:30:00-05:00,10.649999618530273,10.899999618530273,10.390000343322754,10.829999923706055,20578305,0.0,0.0
2022-11-29 10:30:00-05:00,10.84000015258789,10.859999656677246,10.625,10.734999656677246,8865758,0.0,0.0
2022-11-29 11:30:00-05:00,10.739999771118164,10.795000076293945,10.59000015258789,10.654999732971191,5347495,0.0,0.0
2022-11-29 12:30:00-05:00,10.654999732971191,10.6899995803833,10.5,10.510000228881836,3297330,0.0,0.0
2022-11-29 13:30:00-05:00,10.510000228881836,10.59000015258789,10.5,10.569999694824219,3010120,0.0,0.0
2022-11-29 14:30:00-05:00,10.569999694824219,10.574999809265137,10.5,10.524999618530273,2536525,0.0,0.0
2022-11-29 15:30:00-05:00,10.524999618530273,10.550000190734863,10.5,10.505000114440918,3440423,0.0,0.0
2022-11-30 09:30:00-05:00,11.34000015258789,13.270000457763672,11.34000015258789,13.164999961853027,75664319,0.0,0.0
2022-11-30 10:30:00-05:00,13.160699844360352,13.199999809265137,12.17080020904541,12.22249984741211,33475973,0.0,0.0
2022-11-30 11:30:00-05:00,12.229999542236328,12.479999542236328,12.1899995803833,12.29170036315918,14980280,0.0,0.0
2022-11-30 12:30:00-05:00,12.295000076293945,12.600000381469727,12.279999732971191,12.524999618530273,10468895,0.0,0.0
2022-11-30 13:30:00-05:00,12.520000457763672,12.885000228881836,12.449999809265137,12.810099601745605,12617984,0.0,0.0
2022-11-30 14:30:00-05:00,12.819899559020996,12.819999694824219,12.470000267028809,12.744999885559082,8459100,0.0,0.0
2022-11-30 15:30:00-05:00,12.744999885559082,12.779999732971191,12.550000190734863,12.770000457763672,10318708,0.0,0.0
2022-12-01 09:30:00-05:00,12.512999534606934,12.520000457763672,11.949999809265137,12.015000343322754,28508033,0.0,0.0
2022-12-01 10:30:00-05:00,12.015000343322754,12.319999694824219,11.960000038146973,12.305000305175781,8955331,0.0,0.0
2022-12-01 11:30:00-05:00,12.3100004196167,12.444999694824219,12.260000228881836,12.319999694824219,5708880,0.0,0.0
2022-12-01 12:30:00-05:00,12.329999923706055,12.380000114440918,12.260000228881836,12.28499984741211,2717209,0.0,0.0
2022-12-01 13:30:00-05:00,12.279999732971191,12.319999694824219,12.069999694824219,12.092100143432617,3966921,0.0,0.0
2022-12-01 14:30:00-05:00,12.09000015258789,12.149999618530273,12.0600004196167,12.140000343322754,3519821,0.0,0.0
2022-12-01 15:30:00-05:00,12.145000457763672,12.220000267028809,12.09000015258789,12.109999656677246,4755354,0.0,0.0
2022-12-02 09:30:00-05:00,12.0600004196167,13.319999694824219,11.970000267028809,13.029999732971191,44827971,0.0,0.0
2022-12-02 10:30:00-05:00,13.020099639892578,13.170000076293945,12.609999656677246,12.899999618530273,18884361,0.0,0.0
2022-12-02 11:30:00-05:00,12.899999618530273,13.119999885559082,12.859999656677246,12.975000381469727,11260824,0.0,0.0
2022-12-02 12:30:00-05:00,12.975000381469727,13.020000457763672,12.8100004196167,12.920000076293945,4951562,0.0,0.0
2022-12-02 13:30:00-05:00,12.920000076293945,13.079999923706055,12.904899597167969,13.010000228881836,10611552,0.0,0.0
2022-12-02 14:30:00-05:00,13.015000343322754,13.1899995803833,12.960100173950195,13.149999618530273,6516392,0.0,0.0
2022-12-02 15:30:00-05:00,13.143199920654297,13.180000305175781,13.069999694824219,13.119999885559082,7388764,0.0,0.0
2022-12-05 09:30:00-05:00,13.989999771118164,14.029999732971191,12.59000015258789,12.728899955749512,48935961,0.0,0.0
2022-12-05 10:30:00-05:00,12.725000381469727,13.01990032196045,12.670000076293945,12.749899864196777,14974564,0.0,0.0
2022-12-05 11:30:00-05:00,12.749899864196777,12.979999542236328,12.642800331115723,12.95199966430664,7268256,0.0,0.0
2022-12-05 12:30:00-05:00,12.958100318908691,12.979999542236328,12.800399780273438,12.954999923706055,7689187,0.0,0.0
2022-12-05 13:30:00-05:00,12.954999923706055,13.029999732971191,12.850000381469727,12.948200225830078,4747161,0.0,0.0
2022-12-05 14:30:00-05:00,12.949999809265137,12.949999809265137,12.739999771118164,12.78499984741211,4394052,0.0,0.0
2022-12-05 15:30:00-05:00,12.78499984741211,12.890000343322754,12.770000457763672,12.798500061035156,5062702,0.0,0.0
2022-12-06 09:30:00-05:00,13.0,13.010000228881836,12.430000305175781,12.5649995803833,20182479,0.0,0.0
2022-12-06 10:30:00-05:00,12.5600004196167,13.220000267028809,12.479999542236328,13.180000305175781,12315212,0.0,0.0
2022-12-06 11:30:00-05:00,13.180100440979004,13.279999732971191,13.100000381469727,13.158499717712402,9383161,0.0,0.0
2022-12-06 12:30:00-05:00,13.152000427246094,13.170000076293945,12.970000267028809,13.03499984741211,5956820,0.0,0.0
2022-12-06 13:30:00-05:00,13.03499984741211,13.164999961853027,12.979999542236328,13.125,4134356,0.0,0.0
2022-12-06 14:30:00-05:00,13.120100021362305,13.270000457763672,13.119999885559082,13.164999961853027,5290572,0.0,0.0
2022-12-06 15:30:00-05:00,13.164299964904785,13.229999542236328,13.149999618530273,13.210000038146973,3838204,0.0,0.0
